Date,AEV,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,311.0736287440644,486.77689961624105,0.06299104541171693,0.0,0.06299104541171693,0.7607369834772847
2019-02-28,268.6407126628427,431.0522938113194,0.10671275360304515,0.0009852216748766907,0.10675299880530802,1.2748539116969766
2019-03-31,268.0256331025076,466.047948177009,0.08491579075885128,0.0009842519685039353,0.08510779780815056,1.0205243877651977
2019-04-30,251.1254566944578,444.6076922411487,0.08958027222356285,0.002949852507374562,0.08914867539824363,1.0849830058716763
2019-05-31,243.10955349389295,479.36049065395446,0.11875419279891983,0.0019607843137254832,0.11877031594434508,1.4301523862557834
2019-06-30,239.6360886844884,445.04358213550273,0.052798538797165784,0.0009784735812133905,0.05280762242347507,0.6344027583115444
2019-07-31,268.61936825180715,491.0931479872226,0.10297773650974014,0.002938295788442735,0.10314762186407873,1.2271306692260424
2019-08-31,222.00411032230915,446.78714171291904,0.10227838703604096,0.0009765625,0.1023720492539077,1.2224932971073257
2019-09-30,252.49096023422302,481.2366569578839,0.04205219626231601,0.0009756097560975618,0.04206348975532149,0.5055563908411072
2019-10-31,259.0733824614177,493.4910637488789,0.08305484229893804,0.0029239766081872176,0.08273877419765084,0.9904438292668637
2019-11-30,241.77991541896114,472.92181171944264,0.07920736751477515,0.002915451895043608,0.07926069380475985,0.9612246851376354
2019-12-31,222.71457069531843,452.4537103395219,0.08439995095975414,0.005813953488372103,0.0845976603185794,1.0145911045270226
2020-01-31,249.77817158430796,501.1643941861792,0.07553656140453398,0.00674373795761074,0.07583299332369495,0.9143362815586874
2020-02-29,222.56349094134913,465.5493529154562,0.112358677740578,0.003827751196172291,0.11242436104383216,1.3854146942062933
2020-03-31,177.15430420963528,487.3341974456543,0.21595964951459162,0.0019212295869355245,0.2159682281391386,2.60445982418325
2020-04-30,191.1641637441495,464.2077121289563,0.2528717273969025,0.0009624639076035724,0.25298270566935604,3.0696606466148313
2020-05-31,182.162509864132,464.2077121289563,0.1459139860192884,0.0,0.1459139860192884,1.7228422517898068
2020-06-30,220.618805862057,478.4209025533896,0.19203740615865797,0.005780346820809301,0.19058989821589464,2.284165991051891
2020-07-31,230.42436394617647,492.02461320547786,0.09643007826684741,0.00478927203065127,0.09543778004516314,1.1578604268874169
2020-08-31,216.41122891384356,468.67984808395596,0.09583419152255346,0.0009532888465205724,0.09583894176955354,1.1589265417986265
2020-09-30,222.2965249391002,492.02461320547786,0.07534907940041308,0.000954198473282597,0.07551095461928821,0.8994098644457311
2020-10-31,211.36564290347664,493.90077950940713,0.1376964880449207,0.0038131553860818457,0.13649671752315173,1.6531810511711675
2020-11-30,202.814934114823,463.3509576983736,0.10052501025245245,0.009496676163342821,0.10096422975142351,1.2064295849388613
2020-12-31,197.26110234914535,454.8110816591874,0.11399845260862265,0.008466603951081897,0.10994127671477513,1.3626048970613427
2021-01-31,207.91075609501306,496.7512053332131,0.07749474523200478,0.011194029850746245,0.07828143387488563,0.9452733662876353
2021-02-28,182.81719694820836,460.32651455244246,0.10779189124730298,0.0009225092250921829,0.10757558409340692,1.2861725029625681
2021-03-31,184.62328537050792,518.9089708224362,0.12291865276971399,0.0027649769585252892,0.12286970433559141,1.492182757028184
2021-04-30,157.4570814539632,483.43789673545444,0.0809382230936549,0.0009242144177450395,0.08094350938102723,0.9667499022267164
2021-05-31,164.53549009256332,495.3764326247262,0.13296014438458761,0.0,0.13296014438458761,1.5357909569409345
2021-06-30,194.29984559952692,507.9720267888775,0.0780013179877087,0.0018501387604070718,0.07881044575821819,0.9341696095755744
2021-07-31,186.19665679060944,498.58423561119537,0.09222472058597578,0.004616805170821747,0.0919234268689583,1.1198878583052887
2021-08-31,187.60919487061395,513.1314841246831,0.13674113668047944,0.005514705882353033,0.13685107880386346,1.628585611527971
2021-09-30,225.13910699831783,512.6624425487008,0.1712079707400836,0.000914076782449813,0.17129877646347347,2.070492630789458
2021-10-31,223.68457702756353,501.7920385976645,0.09928253214393906,0.0018298261665141702,0.0991468574347317,1.1874006627446125
2021-11-30,233.48473183486752,504.9998415841336,0.07299584640917538,0.006392694063926951,0.07327170397704734,0.8885487291940458
2021-12-31,255.7732687361992,506.3746142926203,0.11994981693304096,0.0027223230490018846,0.12025261863563445,1.4432952938660546
2022-01-31,275.39527047500286,511.8737051265674,0.08379008456957912,0.010859728506787292,0.08447598267216093,0.9975615075125985
2022-02-28,265.92205154894543,487.32490188784726,0.10472432502708724,0.0008952551477170445,0.10472814474162125,1.2539431357346815
2022-03-31,284.6746256693771,539.531046372681,0.09518140363200447,0.0062611806797854275,0.09300214943914611,1.1469040664352346
2022-04-30,246.30049228533832,494.2991401975124,0.1075864985338003,0.008000000000000007,0.10781743297887525,1.3146193122578675
2022-05-31,227.47421831935154,521.9553716554701,0.09894360045240143,0.0044091710758378255,0.09904093371798367,1.1966119261687693
2022-06-30,236.27224233921345,538.9287708037122,0.12546723536524182,0.008779631255487308,0.12764105512977159,1.5132093362767458
2022-07-31,236.13381799310324,530.6622654758863,0.10082841154463167,0.007832898172323688,0.09956129843289942,1.1957015747358128
2022-08-31,274.6973834968218,545.4953528674648,0.10061623157179397,0.0043177892918826455,0.09919399735841089,1.2099495482967424
2022-09-30,262.7329204724828,535.244841170842,0.13678507588105912,0.004299226139294898,0.13747544485098487,1.636259600535218
2022-10-31,259.53723721269745,540.2856744352936,0.11893808673387671,0.009417808219178259,0.11930346293394281,1.4093287923301305
2022-11-30,260.8966557853895,545.326507699745,0.09679982151058947,0.00932994062765058,0.09724017373269701,1.1495314627587323
2022-12-31,242.3413450074089,520.4525338587564,0.08354724429068432,0.003361344537815114,0.08519384208882984,1.0121827228484968
2023-01-31,274.77864727813187,569.4164732425644,0.07541031512783829,0.01675041876046901,0.07718888268963539,0.9089811324971722
2023-02-28,250.71099896095504,542.917304936949,0.08458617783209373,0.0,0.08458617783209373,1.0167755106961982
2023-03-31,173.671241142568,402.63824954914554,0.07704790197394783,0.0,0.07704790197394783,0.9300963368834453
