Date,ICT,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,492.1000016836009,486.77689961624105,0.09476882555038625,0.0,0.09476882555038625,1.126609021853253
2019-02-28,482.2100111237841,431.0522938113194,0.05952086642784353,0.0009852216748766907,0.059483077881539594,0.7114763507112576
2019-03-31,540.392679063105,466.047948177009,0.07782326406807046,0.0009842519685039353,0.0781467912504253,0.924363015847017
2019-04-30,548.359698975955,444.6076922411487,0.09361997451700937,0.002949852507374562,0.09409051825424619,1.1233521927582737
2019-05-31,633.6843614923758,479.36049065395446,0.14446943015425606,0.0019607843137254832,0.14448268370739795,1.7313162787177523
2019-06-30,622.637663492982,445.04358213550273,0.06504527807826697,0.0009784735812133905,0.06505265165374555,0.7751628949081094
2019-07-31,674.8072836002883,491.0931479872226,0.08987012746499676,0.002938295788442735,0.09033304176483013,1.0784359295828723
2019-08-31,561.2778278179177,446.78714171291904,0.1307183706895706,0.0009765625,0.13072201134519076,1.5619437605158253
2019-09-30,611.9069537111014,481.2366569578839,0.09614981814344178,0.0009756097560975618,0.09615475801502814,1.1568321064097493
2019-10-31,579.6987579769341,493.4910637488789,0.0778153109077885,0.0029239766081872176,0.07799341961415038,0.9341081898678864
2019-11-30,563.0348657054908,472.92181171944264,0.04943367970689116,0.002915451895043608,0.04951907918322736,0.589372465516322
2019-12-31,546.2744456772622,452.4537103395219,0.0925686998589939,0.005813953488372103,0.09274899785417272,1.0994316138266131
2020-01-31,634.7402382077254,501.1643941861792,0.06327689167673047,0.00674373795761074,0.06363046273507142,0.7538129978310427
2020-02-29,541.5010987985158,465.5493529154562,0.15764402164548583,0.003827751196172291,0.1576908432759026,1.9595544250528043
2020-03-31,407.19721266236587,487.3341974456543,0.28534700054658774,0.0019212295869355245,0.2853534931764952,3.59722864907789
2020-04-30,354.5506980672863,464.2077121289563,0.2301117905683661,0.0009624639076035724,0.23024676810036543,2.766690184300607
2020-05-31,377.73978146337726,464.2077121289563,0.0843457854080223,0.0,0.0843457854080223,1.0093985478820748
2020-06-30,460.9357683018318,478.4209025533896,0.16683203331495,0.005780346820809301,0.16663548850708956,1.9568418763773843
2020-07-31,463.8668262551225,492.02461320547786,0.09476586166290422,0.00478927203065127,0.09602197043207436,1.1324844759854604
2020-08-31,467.4789620934829,468.67984808395596,0.08907027463870304,0.0009532888465205724,0.0890753855952384,1.049024146741101
2020-09-30,500.7502271592096,492.02461320547786,0.07253909460720691,0.000954198473282597,0.07295552625382049,0.8716404734006755
2020-10-31,545.7248390901774,493.90077950940713,0.08741992177259002,0.0038131553860818457,0.08528371552797194,1.0390872617796305
2020-11-30,538.6891404140239,463.3509576983736,0.08626325087057993,0.009496676163342821,0.086774687863473,1.033893490787077
2020-12-31,521.7224645345455,454.8110816591874,0.10860480720494949,0.008466603951081897,0.1038054764748434,1.2955393916015647
2021-01-31,574.940518662583,496.7512053332131,0.07394714826364678,0.011194029850746245,0.07477117149851621,0.8902161870606256
2021-02-28,517.5978748024377,460.32651455244246,0.05901805891552332,0.0009225092250921829,0.05894581278388556,0.7072945423710856
2021-03-31,596.0393946711912,518.9089708224362,0.08602944746725139,0.0027649769585252892,0.08623641304536572,1.0258722604580872
2021-04-30,569.9977192936828,483.43789673545444,0.0644547941136161,0.0009242144177450395,0.0644614321713909,0.7621825829063315
2021-05-31,631.7432389824207,495.3764326247262,0.09796883049283735,0.0,0.09796883049283735,1.152712962194294
2021-06-30,724.3805215492753,507.9720267888775,0.08497292799222354,0.0018501387604070718,0.0849321789154171,1.0050963137090108
2021-07-31,741.0029757025271,498.58423561119537,0.10937263304496939,0.004616805170821747,0.11038838189515332,1.3091108011061283
2021-08-31,834.6220342166865,513.1314841246831,0.13571517893051302,0.005514705882353033,0.13582595150137128,1.6054891218907534
2021-09-30,886.630949155284,512.6624425487008,0.10145200746660663,0.000914076782449813,0.10116956408518284,1.2146672129419278
2021-10-31,843.9984419416899,501.7920385976645,0.13460693983826202,0.0018298261665141702,0.13429920109353777,1.6130722407294134
2021-11-30,873.8520298082508,504.9998415841336,0.08605708779011458,0.006392694063926951,0.08629120099768933,1.0189696776947046
2021-12-31,903.0508900388726,506.3746142926203,0.08337150251321608,0.0027223230490018846,0.08421123166966964,0.9979512418307545
2022-01-31,916.5690535906174,511.8737051265674,0.10072405250566772,0.010859728506787292,0.10129535097631343,1.2080551565667748
2022-02-28,921.627864162103,487.32490188784726,0.11144879912856956,0.0008952551477170445,0.11145238838106254,1.3360623003901682
2022-03-31,1067.2134744276798,539.531046372681,0.13866189204931542,0.0062611806797854275,0.1371713203667722,1.6677044901158284
2022-04-30,971.5648820331044,494.2991401975124,0.07765310490913478,0.008000000000000007,0.0772391793212786,0.9347182474119499
2022-05-31,981.8579734360769,521.9553716554701,0.11905180771803654,0.0044091710758378255,0.11913271340055144,1.408121145195905
2022-06-30,931.3806311063163,538.9287708037122,0.1322888616790628,0.008779631255487308,0.13453541837016286,1.6016606422104238
2022-07-31,849.4687104302312,530.6622654758863,0.12048362663117368,0.007832898172323688,0.11818437123631974,1.4426963200149618
2022-08-31,867.1824894449841,545.4953528674648,0.0852628541301195,0.0043177892918826455,0.08785321172800493,1.031716291872613
2022-09-30,832.3223834548727,535.244841170842,0.11859270717711581,0.004299226139294898,0.11832929912129957,1.4825308928636192
2022-10-31,790.1354187732633,540.2856744352936,0.11817239331385042,0.009417808219178259,0.11854012963397184,1.4189277152046853
2022-11-30,842.8035892187455,545.326507699745,0.1522276857114128,0.00932994062765058,0.15250807926184037,1.8028914470108806
2022-12-31,866.6691121760368,520.4525338587564,0.13191674675754184,0.003361344537815114,0.132927264623953,1.5791666245492293
2023-01-31,974.302571073278,569.4164732425644,0.08398307597617485,0.01675041876046901,0.08558367270463671,0.9994982960575172
2023-02-28,941.921058263377,542.917304936949,0.0933741499329349,0.0,0.0933741499329349,1.1208952216633419
2023-03-31,680.1898779017517,402.63824954914554,0.060698568025860405,0.0,0.060698568025860405,0.7307421756072763
