Date,MBT,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,349.36090121821013,486.77689961624105,0.08030586789663124,0.0,0.08030586789663124,0.9697118678074276
2019-02-28,305.8933438308196,431.0522938113194,0.06536131900232603,0.0009852216748766907,0.06534237353144769,0.7902527552386666
2019-03-31,319.6065657961363,466.047948177009,0.09312251809032222,0.0009842519685039353,0.09323781410785549,1.1104269494506533
2019-04-30,298.68498572911227,444.6076922411487,0.062246806798383805,0.002949852507374562,0.06377989366206398,0.7531769872871941
2019-05-31,302.553160618097,479.36049065395446,0.07002213746546282,0.0019607843137254832,0.07004947806678292,0.837839629443916
2019-06-30,278.6939005432304,445.04358213550273,0.05715662315936909,0.0009784735812133905,0.05716501428222172,0.6876285827115495
2019-07-31,316.0531524917921,491.0931479872226,0.06910149887112899,0.002938295788442735,0.06870849565094196,0.8147936428706365
2019-08-31,275.86719576636875,446.78714171291904,0.06864852257962709,0.0009765625,0.06879577167764306,0.8294151908703891
2019-09-30,286.35744865464915,481.2366569578839,0.038988389395604846,0.0009756097560975618,0.039000570092948696,0.46769139785446545
2019-10-31,297.0619428671401,493.4910637488789,0.07596221598962949,0.0029239766081872176,0.07637401576938241,0.9031354724804797
2019-11-30,310.2193860802384,472.92181171944264,0.05564490664032657,0.002915451895043608,0.055720787402924396,0.6681916382381783
2019-12-31,291.33937255372814,452.4537103395219,0.08729453031724128,0.005813953488372103,0.08748569844652666,1.041123038432497
2020-01-31,310.1117137419997,501.1643941861792,0.09102624338176823,0.00674373795761074,0.09127238219641,1.1162263890900574
2020-02-29,262.96343852330494,465.5493529154562,0.09890198281987655,0.003827751196172291,0.09897659671965907,1.180502283762877
2020-03-31,213.27310543057226,487.3341974456543,0.23729683232371118,0.0019212295869355245,0.23730463960479417,2.938811357133956
2020-04-30,172.737011089112,464.2077121289563,0.14143288450752914,0.0009624639076035724,0.1414276534363129,1.6975770089580713
2020-05-31,159.62956336468505,464.2077121289563,0.0925568970020075,0.0,0.0925568970020075,1.122945887925478
2020-06-30,179.10771898497285,478.4209025533896,0.14529578748355235,0.005780346820809301,0.14346782001258818,1.7144235842075917
2020-07-31,170.84864646815322,492.02461320547786,0.08663036165488144,0.00478927203065127,0.08600926148214584,1.0435023753988966
2020-08-31,155.54443095141656,468.67984808395596,0.08022524183957216,0.0009532888465205724,0.08023091625392455,0.9618403754864336
2020-09-30,167.26357941883225,492.02461320547786,0.07626173516913907,0.000954198473282597,0.07626769309893151,0.9089183851846773
2020-10-31,191.08321485677385,493.90077950940713,0.07364331406974566,0.0038131553860818457,0.0727772758800854,0.8830472440084688
2020-11-30,195.69103837426997,463.3509576983736,0.10732495648428846,0.009496676163342821,0.10773645755916134,1.269272415452574
2020-12-31,213.1850839059806,454.8110816591874,0.0704477219473668,0.008466603951081897,0.07131120835632984,0.8418476972801979
2021-01-31,218.20388974534802,496.7512053332131,0.13277692425540172,0.011194029850746245,0.13323760342207994,1.5888381605005975
2021-02-28,207.55184292123255,460.32651455244246,0.09360862887160061,0.0009225092250921829,0.09317930568016161,1.1023936673139507
2021-03-31,225.12162823682667,518.9089708224362,0.09624064922696941,0.0027649769585252892,0.09512703968999237,1.1673583119472841
2021-04-30,199.80062562464613,483.43789673545444,0.04973382602949423,0.0009242144177450395,0.04974242861873743,0.600598093305634
2021-05-31,207.99964543239008,495.3764326247262,0.07275327148186135,0.0,0.07275327148186135,0.866804977483655
2021-06-30,229.86043591710168,507.9720267888775,0.04119219905778795,0.0018501387604070718,0.040760335186750776,0.4937627009719354
2021-07-31,214.8972079855855,498.58423561119537,0.09152981718025245,0.004616805170821747,0.0916451136955965,1.1094687717300213
2021-08-31,214.85315333967057,513.1314841246831,0.06578557467281837,0.005514705882353033,0.06601379510484649,0.7859288667891964
2021-09-30,210.07981816443007,512.6624425487008,0.03797526892540066,0.000914076782449813,0.038012976099397494,0.4563287054117426
2021-10-31,220.64404592011994,501.7920385976645,0.07753395765262203,0.0018298261665141702,0.07739280879432119,0.9161633614699078
2021-11-30,231.79300571846426,504.9998415841336,0.07466668588436808,0.006392694063926951,0.07493639297206015,0.8897769683150459
2021-12-31,240.91492793100224,506.3746142926203,0.10312568779165725,0.0027223230490018846,0.10324004680445378,1.2263047629501083
2022-01-31,259.805128894716,511.8737051265674,0.08803473070905585,0.010859728506787292,0.0886878074329611,1.049256051798455
2022-02-28,259.42023822362046,487.32490188784726,0.05485976155638937,0.0008952551477170445,0.05486705283379867,0.6655922089415884
2022-03-31,262.1096717025147,539.531046372681,0.13289086700983088,0.0062611806797854275,0.13229017320757788,1.6105278815624322
2022-04-30,238.64641732068807,494.2991401975124,0.08755120452391887,0.008000000000000007,0.08944047910484694,1.0614652041708246
2022-05-31,238.1391085059319,521.9553716554701,0.1082652979407378,0.0044091710758378255,0.10835425796636838,1.2971494686486218
2022-06-30,238.63139986179522,538.9287708037122,0.09112176233605322,0.008779631255487308,0.09271312075325207,1.0958847165143322
2022-07-31,219.0079564764714,530.6622654758863,0.07371454457404168,0.007832898172323688,0.07412312991175055,0.8866419760613304
2022-08-31,240.14836039415303,545.4953528674648,0.0815811922137873,0.0043177892918826455,0.08253835006769651,0.9750867413911436
2022-09-30,237.7530756898846,535.244841170842,0.10039731104309357,0.004299226139294898,0.10135328575030746,1.2266053981678327
2022-10-31,230.771272042254,540.2856744352936,0.08425464194584834,0.009417808219178259,0.08476964363224958,1.0009278994868844
2022-11-30,241.91887069842238,545.326507699745,0.06838554439858695,0.00932994062765058,0.06900745340739813,0.8132060800792104
2022-12-31,239.44267581197803,520.4525338587564,0.08530013575144428,0.003361344537815114,0.08577019638358319,1.028331672888277
2023-01-31,270.98965847426723,569.4164732425644,0.07223843864872723,0.01675041876046901,0.0740931845826615,0.866755219729534
2023-02-28,269.0574427515433,542.917304936949,0.08083196620121687,0.0,0.08083196620121687,0.9675257785380083
2023-03-31,196.98753133130026,402.63824954914554,0.09729558645898961,0.0,0.09729558645898961,1.162818379563224
