Date,MER,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,1787.684935272432,486.77689961624105,0.0809032775934906,0.0,0.0809032775934906,0.9742639543506676
2019-02-28,1521.0938798772415,431.0522938113194,0.061560920776804376,0.0009852216748766907,0.06135590192940979,0.7381446203882146
2019-03-31,1685.475440313504,466.047948177009,0.06437248405515097,0.0009842519685039353,0.0644045588705747,0.7712646105509675
2019-04-30,1622.6603337729064,444.6076922411487,0.04889367319391009,0.002949852507374562,0.04817750847764178,0.5845140880326675
2019-05-31,1716.9487454202003,479.36049065395446,0.0746693938986268,0.0019607843137254832,0.07469503348539858,0.8887741050106407
2019-06-30,1640.1680659310496,445.04358213550273,0.03173693984261679,0.0009784735812133905,0.0317520493429694,0.3802874482659684
2019-07-31,1787.972919957123,491.0931479872226,0.05954203977642332,0.002938295788442735,0.059915583060401074,0.716665942492246
2019-08-31,1552.0173741617714,446.78714171291904,0.08911603154865372,0.0009765625,0.08885088557603779,1.0685007323496258
2019-09-30,1678.339533556902,481.2366569578839,0.04874489328173746,0.0009756097560975618,0.04875463650730734,0.5826070930916091
2019-10-31,1691.888125674981,493.4910637488789,0.06465769873520848,0.0029239766081872176,0.06484455763439304,0.7826296625448658
2019-11-30,1497.697795317867,472.92181171944264,0.08178854756012217,0.002915451895043608,0.08184019199504364,0.9844155628810773
2019-12-31,1344.809190666096,452.4537103395219,0.13849515251956174,0.005813953488372103,0.1386157266719239,1.6824697827497122
2020-01-31,1390.1355999685786,501.1643941861792,0.12971969957137797,0.00674373795761074,0.12989253721634353,1.5839106224208634
2020-02-29,1180.4574476871244,465.5493529154562,0.12082838100483585,0.003827751196172291,0.12088946252156407,1.4431247728448955
2020-03-31,1105.9606908927642,487.3341974456543,0.23151697880951408,0.0019212295869355245,0.23152498099379848,2.866481648859018
2020-04-30,1157.6594145084296,464.2077121289563,0.15551873550014025,0.0009624639076035724,0.15569718573902683,1.8488007503498327
2020-05-31,1194.6786680944797,464.2077121289563,0.07060910052955185,0.0,0.07060910052955185,0.8369921170073256
2020-06-30,1287.7608784242516,478.4209025533896,0.09529390014063886,0.005780346820809301,0.09348221475913483,1.142758877593419
2020-07-31,1259.3494669868248,492.02461320547786,0.08588167371618076,0.00478927203065127,0.0858485607404974,1.032109958012604
2020-08-31,1202.447071600243,468.67984808395596,0.0770208336106153,0.0009532888465205724,0.07702674408801467,0.9270194683192658
2020-09-30,1271.0702576962456,492.02461320547786,0.08414868946457017,0.000954198473282597,0.08449575113298412,1.01088900218038
2020-10-31,1338.6362015125694,493.90077950940713,0.06955721655706647,0.0038131553860818457,0.06958051855457635,0.8270337760269266
2020-11-30,1315.9545888821544,463.3509576983736,0.08375342880578293,0.009496676163342821,0.08428009753060274,0.9997156392095264
2020-12-31,1231.742879013311,454.8110816591874,0.07701244268743318,0.008466603951081897,0.06958507556893052,0.9034715043913722
2021-01-31,1331.1327957795947,496.7512053332131,0.08803230918315658,0.011194029850746245,0.08872561530388863,1.080499349038324
2021-02-28,1212.7889841188369,460.32651455244246,0.08689299266412401,0.0009225092250921829,0.08621487477000793,1.027708686220538
2021-03-31,1315.1599902673438,518.9089708224362,0.07647911395843135,0.0027649769585252892,0.0769349079696951,0.9160987160854523
2021-04-30,1232.6695096415747,483.43789673545444,0.0566920285731478,0.0009242144177450395,0.056699575457817994,0.6795257585295672
2021-05-31,1256.89574746675,495.3764326247262,0.038771418383567804,0.0,0.038771418383567804,0.46096369719408453
2021-06-30,1304.389558375871,507.9720267888775,0.04299726748616055,0.0018501387604070718,0.04357038620818239,0.5179212926531819
2021-07-31,1255.2773239408095,498.58423561119537,0.04751648033929583,0.004616805170821747,0.04746003684365381,0.5719125435596621
2021-08-31,1316.916261574744,513.1314841246831,0.0769488241229974,0.005514705882353033,0.07714402661919897,0.9186660976358713
2021-09-30,1372.3852228875098,512.6624425487008,0.0573289098375458,0.000914076782449813,0.057519211387963676,0.6864539823722914
2021-10-31,1346.6125055115149,501.7920385976645,0.04955868538191342,0.0018298261665141702,0.049715129844846356,0.5955551105432441
2021-11-30,1356.3739307432888,504.9998415841336,0.0609704005680485,0.006392694063926951,0.06130039768334641,0.7320543423934694
2021-12-31,1372.080580724033,506.3746142926203,0.05947054110903393,0.0027223230490018846,0.057875327148972075,0.7094585819988222
2022-01-31,1429.6885534968796,511.8737051265674,0.0598281906393636,0.010859728506787292,0.06078507852614855,0.7096389951053299
2022-02-28,1544.3587666083292,487.32490188784726,0.07769565036986455,0.0008952551477170445,0.0777007988056699,0.9230566447003883
2022-03-31,1760.8475572859793,539.531046372681,0.12651998660725258,0.0062611806797854275,0.1266728978924935,1.5239503957935774
2022-04-30,1571.995687016984,494.2991401975124,0.06090343022456857,0.008000000000000007,0.06134966624038985,0.735827695427202
2022-05-31,1592.9889265151844,521.9553716554701,0.13323460379195037,0.0044091710758378255,0.13330690203002835,1.5612459492032151
2022-06-30,1702.1975208535582,538.9287708037122,0.0706798205525791,0.008779631255487308,0.07465659845244323,0.8547401593757536
2022-07-31,1632.2029530668053,530.6622654758863,0.0981830750010736,0.007832898172323688,0.09997180884614831,1.2020435501806466
2022-08-31,1498.3727440126504,545.4953528674648,0.08929448758761299,0.0043177892918826455,0.09111609743396708,1.0754094066134383
2022-09-30,1404.0132905353853,535.244841170842,0.11100825615470881,0.004299226139294898,0.10993086735692426,1.3731435815435313
2022-10-31,1333.587237491421,540.2856744352936,0.12548192871043704,0.009417808219178259,0.12582830454634078,1.4986228819309295
2022-11-30,1370.718731177188,545.326507699745,0.08652592300091046,0.00932994062765058,0.0870182813795044,1.0388782667517247
2022-12-31,1249.987615938654,520.4525338587564,0.07078922004064024,0.003361344537815114,0.06961466085313597,0.843180545932943
2023-01-31,1384.0332799466926,569.4164732425644,0.08689620781377334,0.01675041876046901,0.08844410051331238,1.0500639586720901
2023-02-28,1362.772262705695,542.917304936949,0.1304811985471623,0.0,0.1304811985471623,1.5056849987693806
2023-03-31,1044.3520670731687,402.63824954914554,0.06927716194505402,0.0,0.06927716194505402,0.8346306724591573
