Date,TEL,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,5910.147037087994,486.77689961624105,0.11162249630812059,0.0,0.11162249630812059,1.3345902879427967
2019-02-28,4959.995665320686,431.0522938113194,0.09749171926378371,0.0009852216748766907,0.09731349241342553,1.1867045596984631
2019-03-31,5145.902447579045,466.047948177009,0.07552241753420645,0.0009842519685039353,0.07552881832763084,0.9013120482072361
2019-04-30,5163.259823018788,444.6076922411487,0.07124806521371499,0.002949852507374562,0.07283848973494651,0.8551877140437031
2019-05-31,5958.178664659193,479.36049065395446,0.10784349458711925,0.0019607843137254832,0.10786124868069417,1.2908967719461268
2019-06-30,5496.473596770933,445.04358213550273,0.10718806743141845,0.0009784735812133905,0.10719254212204689,1.3174211634812274
2019-07-31,5727.814330091365,491.0931479872226,0.07576106103551584,0.002938295788442735,0.07634593298442699,0.9131188291307424
2019-08-31,4974.994874369218,446.78714171291904,0.11267534608489943,0.0009765625,0.11271700780775455,1.3367314731646283
2019-09-30,5412.643901089375,481.2366569578839,0.0595137679509328,0.0009756097560975618,0.059521748425505505,0.7173991337571701
2019-10-31,5305.014326088102,493.4910637488789,0.038802543333041756,0.0029239766081872176,0.03917407765770242,0.46665127632584147
2019-11-30,5057.535862453177,472.92181171944264,0.05109986128943824,0.002915451895043608,0.051182480768238135,0.614775267048315
2019-12-31,4456.962250232775,452.4537103395219,0.06380411662769515,0.005813953488372103,0.06406541741071672,0.7716612063008931
2020-01-31,5024.472907678974,501.1643941861792,0.091679813872064,0.00674373795761074,0.09192420268474963,1.0969145574068515
2020-02-29,4576.671525246268,465.5493529154562,0.09041180524852337,0.003827751196172291,0.090493419765195,1.084976471013523
2020-03-31,4707.91487815997,487.3341974456543,0.19433861776727587,0.0019212295869355245,0.19434815075731776,2.3050949411673263
2020-04-30,5227.146353413113,464.2077121289563,0.1529406803168757,0.0009624639076035724,0.15311560692215231,1.8279619050179898
2020-05-31,5465.464664600806,464.2077121289563,0.09538929645875922,0.0,0.09538929645875922,1.1383787015804592
2020-06-30,5610.730344616465,478.4209025533896,0.10670523222680085,0.005780346820809301,0.10788286153553275,1.2733613882872308
2020-07-31,6268.417104820004,492.02461320547786,0.0742127440304641,0.00478927203065127,0.07426335637678587,0.8798393944402652
2020-08-31,6190.367355819847,468.67984808395596,0.06678708425634206,0.0009532888465205724,0.06679390030676564,0.7968274527933332
2020-09-30,6611.909784623502,492.02461320547786,0.06213799287817523,0.000954198473282597,0.06228883005974706,0.7502983256643779
2020-10-31,6205.292821454923,493.90077950940713,0.06495466339390744,0.0038131553860818457,0.06502216257665352,0.7799760377416182
2020-11-30,5940.709385250216,463.3509576983736,0.065954868468836,0.009496676163342821,0.0666223887126844,0.7926351553556662
2020-12-31,5710.2379109805925,454.8110816591874,0.07040682899097572,0.008466603951081897,0.06441364140498688,0.8352432869587787
2021-01-31,6448.500368302695,496.7512053332131,0.10624885026883907,0.011194029850746245,0.10682399325238195,1.2725037807624728
2021-02-28,5753.993743479393,460.32651455244246,0.09025322622103459,0.0009225092250921829,0.08948077237207405,1.0645514923099346
2021-03-31,6116.695840075751,518.9089708224362,0.10464850204315904,0.0027649769585252892,0.10487193721892415,1.283295609303347
2021-04-30,5642.949228905041,483.43789673545444,0.08388019283385152,0.0009242144177450395,0.08388529372424171,0.9951558835172166
2021-05-31,5835.612649928026,495.3764326247262,0.06551708779459353,0.0,0.06551708779459353,0.782842573924985
2021-06-30,6086.807455472861,507.9720267888775,0.04221110694605591,0.0018501387604070718,0.04270853433712556,0.5086430526299123
2021-07-31,5886.557907640084,498.58423561119537,0.053913448642217976,0.004616805170821747,0.051848882973695005,0.6459589058064775
2021-08-31,6045.235148445427,513.1314841246831,0.119228549426745,0.005514705882353033,0.11935462415640825,1.3853014087071158
2021-09-30,7279.225645630172,512.6624425487008,0.11694417320044356,0.000914076782449813,0.11702327240905941,1.3859345115071484
2021-10-31,7562.043903601724,501.7920385976645,0.07437740095317727,0.0018298261665141702,0.07496720239045344,0.8935845519052278
2021-11-30,7716.223493393643,504.9998415841336,0.06891935512024015,0.006392694063926951,0.06921146235196815,0.8241450230224581
2021-12-31,8133.7762447709365,506.3746142926203,0.10789917177486831,0.0027223230490018846,0.10893033636674611,1.2819969758011291
2022-01-31,8527.714523833452,511.8737051265674,0.06585806318977094,0.010859728506787292,0.06672853859749871,0.7857424010894851
2022-02-28,8011.900336374636,487.32490188784726,0.0837306531893004,0.0008952551477170445,0.0837354305664565,1.0129237311420873
2022-03-31,8617.376979104489,539.531046372681,0.10192896189565767,0.0062611806797854275,0.10291261615316216,1.230852795362421
2022-04-30,8125.5033690227465,494.2991401975124,0.08060379521843783,0.008000000000000007,0.08375047098928469,0.9715939433181505
2022-05-31,8820.790214034114,521.9553716554701,0.0694713544269066,0.0044091710758378255,0.06960990997806606,0.8362898135744676
2022-06-30,8555.016189347627,538.9287708037122,0.1253656101614964,0.008779631255487308,0.12541322160816187,1.5094024266186914
2022-07-31,7730.85208757741,530.6622654758863,0.08421772138876914,0.007832898172323688,0.08511336711227671,1.0129016758175688
2022-08-31,8147.983431500091,545.4953528674648,0.08495507361698076,0.0043177892918826455,0.085094152144404,1.0167691282140205
2022-09-30,7521.493867577105,535.244841170842,0.12336593476182622,0.004299226139294898,0.12402490009683029,1.4867376100168839
2022-10-31,6920.67691775884,540.2856744352936,0.12034207597401249,0.009417808219178259,0.12070320228498696,1.4293838332002413
2022-11-30,7332.097039728811,545.326507699745,0.08025020921281713,0.00932994062765058,0.08078082706796234,0.9627823045907394
2022-12-31,6477.275893460152,520.4525338587564,0.2320357111425202,0.003361344537815114,0.23248157289801522,3.0054231314326816
2023-01-31,6734.15948727085,569.4164732425644,0.1258362241577402,0.01675041876046901,0.12691005985922257,1.5073350120799658
2023-02-28,6123.9812213951145,542.917304936949,0.1090095275498565,0.0,0.1090095275498565,1.3065499523198143
2023-03-31,4336.145292768682,402.63824954914554,0.06516293128337314,0.0,0.06516293128337314,0.7829704805406311
